COMMUNE;DEPT;CODE POSTAL;LAT;LON
L'Abergement-Clémenciat;1;1400;46.153;4.926
L'Abergement-de-Varey;1;1640;46.009;5.428
Ambérieu-en-Bugey;1;1500;45.961;5.373
Ambérieux-en-Dombes;1;1330;45.996;4.912
Ambléon;1;1300;45.75;5.594
Ambronay;1;1500;46.006;5.358
Ambutrix;1;1500;45.937;5.333
Andert-et-Condon;1;1300;45.787;5.658
Anglefort;1;1350;45.909;5.795
Apremont;1;1100;46.206;5.658
Aranc;1;1110;46.002;5.511
Arandas;1;1230;45.891;5.499
Arbent;1;1100;46.284;5.691
Arboys en Bugey;1;1300;45.724;5.653
Arbigny;1;1190;46.478;4.96
Argis;1;1230;45.934;5.482
Armix;1;1510;45.854;5.584
Ars-sur-Formans;1;1480;45.994;4.822
Artemare;1;1510;45.87;5.691
Asnières-sur-Saône;1;1570;46.386;4.884
Attignat;1;1340;46.286;5.18
Bâgé-Dommartin;1;1380;46.323;4.953
Bâgé-le-Châtel;1;1380;46.308;4.929
Balan;1;1360;45.831;5.108
Baneins;1;1990;46.114;4.902
Beaupont;1;1270;46.429;5.26
Beauregard;1;1480;46.001;4.756
Bellignat;1;1100;46.237;5.636
Béligneux;1;1360;45.859;5.14
Valserhône;1;1200;46.107;5.832
Belley;1;1300;45.75;5.684
Belleydoux;1;1130;46.253;5.785
Valromey-sur-Séran;1;1260;45.885;5.651
Bénonces;1;1470;45.838;5.483
Bény;1;1370;46.319;5.282
Béréziat;1;1340;46.367;5.04
Bettant;1;1500;45.937;5.367
Bey;1;1290;46.219;4.846
Beynost;1;1700;45.839;4.997
Billiat;1;1200;46.079;5.766
Birieux;1;1330;45.953;5.037
Biziat;1;1290;46.227;4.941
Blyes;1;1150;45.847;5.252
La Boisse;1;1120;45.845;5.028
Boissey;1;1380;46.373;4.999
Bolozon;1;1450;46.196;5.471
Bouligneux;1;1330;46.023;4.992
Bourg-en-Bresse;1;1000;46.205;5.246
Bourg-Saint-Christophe;1;1800;45.886;5.144
Boyeux-Saint-Jérôme;1;1640;46.036;5.463
Boz;1;1190;46.405;4.914
Brégnier-Cordon;1;1300;45.642;5.616
Brénod;1;1110;46.076;5.614
Brens;1;1300;45.714;5.69
Bressolles;1;1360;45.869;5.101
Brion;1;1460;46.169;5.547
Briord;1;1470;45.771;5.485
Buellas;1;1310;46.21;5.145
La Burbanche;1;1510;45.86;5.546
Ceignes;1;1430;46.126;5.495
Cerdon;1;1450;46.072;5.476
Certines;1;1240;46.134;5.262
Cessy;1;1170;46.316;6.078
Ceyzériat;1;1250;46.183;5.32
Ceyzérieu;1;1350;45.834;5.719
Chalamont;1;1320;46.008;5.169
Chaleins;1;1480;46.034;4.798
Chaley;1;1230;45.953;5.537
Challes-la-Montagne;1;1450;46.122;5.458
Challex;1;1630;46.177;5.971
Champagne-en-Valromey;1;1260;45.932;5.693
Champdor-Corcelles;1;1110;46.02;5.6
Champfromier;1;1410;46.22;5.822
Chanay;1;1420;46.006;5.769
Chaneins;1;1990;46.094;4.855
Chanoz-Châtenay;1;1400;46.186;5.028
La Chapelle-du-Châtelard;1;1240;46.074;5.022
Charix;1;1130;46.186;5.681
Charnoz-sur-Ain;1;1800;45.874;5.221
Château-Gaillard;1;1500;45.973;5.308
Châtenay;1;1320;46.026;5.205
Châtillon-la-Palud;1;1320;45.975;5.242
Châtillon-sur-Chalaronne;1;1400;46.123;4.958
Chavannes-sur-Reyssouze;1;1190;46.438;5.007
Nivigne et Suran;1;1250;46.275;5.416
Chaveyriat;1;1660;46.199;5.056
Chazey-Bons;1;1300;45.793;5.685
Chazey-sur-Ain;1;1150;45.893;5.255
Cheignieu-la-Balme;1;1510;45.823;5.605
Chevillard;1;1430;46.11;5.581
Chevroux;1;1190;46.382;4.963
Chevry;1;1170;46.283;6.047
Chézery-Forens;1;1410;46.223;5.872
Civrieux;1;1390;45.922;4.886
Cize;1;1250;46.2;5.451
Cleyzieu;1;1230;45.902;5.433
Coligny;1;1270;46.387;5.331
Collonges;1;1550;46.142;5.9
Colomieu;1;1300;45.736;5.627
Conand;1;1230;45.884;5.475
Condamine;1;1430;46.106;5.556
Condeissiat;1;1400;46.154;5.084
Confort;1;1200;46.154;5.833
Confrançon;1;1310;46.27;5.058
Contrevoz;1;1300;45.801;5.621
Conzieu;1;1300;45.725;5.604
Corbonod;1;1420;45.966;5.79
Corlier;1;1110;46.034;5.496
Cormoranche-sur-Saône;1;1290;46.24;4.828
Cormoz;1;1560;46.434;5.222
Corveissiat;1;1250;46.25;5.472
Courmangoux;1;1370;46.327;5.356
Courtes;1;1560;46.457;5.111
Crans;1;1320;45.966;5.195
Bresse Vallons;1;1340;46.313;5.178
Cressin-Rochefort;1;1350;45.783;5.766
Crottet;1;1290;46.283;4.878
Crozet;1;1170;46.292;5.995
Cruzilles-lès-Mépillat;1;1290;46.222;4.875
Culoz-Béon;1;1350;45.856;5.784
